Orig_empl,Employer,Interest2
Align Public Strategies,All American Ruidoso Downs LLC,CASINO & GAMING
"Alkermes, Inc.",All Pueblo Council of Governors,TRIBAL GOVERNMENT
All American Ruidoso Downs LLC,"Allergan, Inc.",PHARMACEUTICALS
All Pueblo Council of Governors,Alliance for Local Economic Prosperity,ECONOMIC & SUSTAINABLE DEVELOPMENT
"Allergan, Inc.",Alliance for Solar Energy,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Alliance for Local Economic Prosperity,"Alliance of Automobile Manufacturers, Inc.",TRANSPORTATION
Alliance for Solar Energy,Alliance of Health Care Sharing Ministries,HEALTHCARE
"Alliance of Automobile Manufacturers, Inc.",Alliance of NM Chiropractors,HEALTHCARE
Alliance of Health Care Sharing Ministries,Allstate Insurance Company,INSURANCE
Alliance of NM Chiropractors,"Allsups Convenience Store, Inc.",RETAIL & CONSUMER RIGHTS
Allstate Insurance Company,Altamonte Little League,SPORTS
"Allsups Convenience Store, Inc.",Altria,HEALTHCARE
Altamonte Little League,Altria Client Services LLC,HEALTHCARE
Altria,Altura Prepartary School,EDUCATION
Altria Client Services LLC,Alzheimer's Association,HEALTHCARE
Altura Prepartary School,"Amazon.com Services, Inc.",INFORMATION TECHNOLOGY
Alzheimer's Association,Ambassadors for Spaceport America,TRANSPORTATION
"Amazon.com Services, Inc.",Ambitions Consulting Group ,INFORMATION TECHNOLOGY
Ambassadors for Spaceport America,"Ameresco, Inc.",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Ambitions Consulting Group ,America Votes ,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
"Ameresco, Inc.",American Academy of Ophthalmology,HEALTHCARE
America Votes ,American Association of University Women,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
American Academy of Ophthalmology,American Association of University Women,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
American Association of University Women,American Associations of Orthodintists,HEALTHCARE
American Association of University Women-New Mexico,American Bail Coalition,BANKING & FINANCE
American Associations of Orthodintists,American Cancer Society Action Network,HEALTHCARE
American Bail Coalition,American Cancer Society Cancer Action Network,HEALTHCARE
American Cancer Society Action Network,American Chemistry Council,INDUSTRY
American Cancer Society Cancer Action Network,American Civil Liberties Union of New Mexico,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
American Chemistry Council,American Coalition for Clean Coal Electricity ,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
American Civil Liberties Union of New Mexico,American Council of Engineering Companies,REAL ESTATE & CONSTRUCTION
American Coalition for Clean Coal Electricity ,American Council of Life Insurers ,INSURANCE
American Council of Engineering Companies,American Diabetes Association,HEALTHCARE
American Council of Life Insurers ,American Electric Power Corporation,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
American Diabetes Association,American Express Company,BANKING & FINANCE
American Electric Power Corporation,American Fair Credit Council,BANKING & FINANCE
American Express Company,American Family  Life Assurance Co. of Columbus,INSURANCE
American Fair Credit Council,American Federation for Children,EDUCATION
American Family  Life Assurance Co. of Columbus,"American Federation of State, County and Municipal Employees",LABOR & WORKFORCE
American Federation for Children,"American Federation of State, County and Municipal Employees",LABOR & WORKFORCE
American Federation of State County Municipal Empl,American Federation of Teachers New Mexico ,EDUCATION
American Friends Service Committee,American Friends Service Committee,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
American Heart Association,American Heart Association,HEALTHCARE
American Indian Center,American Indian Center,RETAIL & CONSUMER RIGHTS
American Institute of Architects,American Institute of Architects,REAL ESTATE & CONSTRUCTION
American Insurance Association,American Insurance Association,INSURANCE
American Knife and Tool Institute,American Knife and Tool Institute,INDUSTRY
American Lands Council ,American Lands Council ,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
American Lung Association in New Mexico ,American Lung Association in New Mexico ,HEALTHCARE
American Massage Therapy Association-NM Chapter,American Massage Therapy Association-NM Chapter,HEALTHCARE
American Medical Response,American Medical Response,HEALTHCARE
American Naprapathic Association (Illinois) ,American Naprapathic Association (Illinois) ,HEALTHCARE
American Promotional Events,American Promotional Events,TOURISM
American Property Casualty Insurance Association,American Property Casualty Insurance Association,INSURANCE
American Society of Interior Designers,American Society of Interior Designers,REAL ESTATE & CONSTRUCTION
American Society Prevention of  Cruelty to Animals,American Society Prevention of  Cruelty to Animals,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
American Subcontractors Association of New Mexico,American Subcontractors Association of New Mexico,REAL ESTATE & CONSTRUCTION
American TeleDentistry Association,American TeleDentistry Association,HEALTHCARE
American Tort Reform Association,American Tort Reform Association,JUDICIARY & RULES
American Votes ,American Votes ,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
American Wild Horse Campaign,American Wild Horse Campaign,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Americans for Comprehensive Energy Solutions INC,Americans for Comprehensive Energy Solutions INC,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Americans for Prosperity,Americans for Prosperity,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
America's Health Insurance Plans,America's Health Insurance Plans,INSURANCE
Amerigroup Community Care,Amerigroup Community Care,HEALTHCARE
AMGEN,AMGEN,INDUSTRY
Amigos Bravos,Amigos Bravos,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
"AMIKids, Inc","AMIKids, Inc","SENIOR, FAMILY & YOUTH ADVOCACY"
"Amplify Education, Inc. ","Amplify Education, Inc. ",EDUCATION
Andeavor,Andeavor,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
