Orig_empl,Employer,Interest2
City of Clayton,City of Clayton,CITY & COUNTY GOVERNMENT
City of Clovis,City of Clovis,CITY & COUNTY GOVERNMENT
City of Deming,City of Deming,CITY & COUNTY GOVERNMENT
City of Farmington,City of Farmington,CITY & COUNTY GOVERNMENT
City of Gallup,City of Gallup,CITY & COUNTY GOVERNMENT
City of Hobbs,City of Hobbs,CITY & COUNTY GOVERNMENT
City of Las Cruces,City of Las Cruces,CITY & COUNTY GOVERNMENT
City of Las Vegas ,City of Las Vegas ,CITY & COUNTY GOVERNMENT
City of Portales,City of Portales,CITY & COUNTY GOVERNMENT
City of Rio Rancho ,City of Rio Rancho ,CITY & COUNTY GOVERNMENT
City of Roswell,City of Roswell,CITY & COUNTY GOVERNMENT
City of Ruidoso Downs,City of Ruidoso Downs,CITY & COUNTY GOVERNMENT
City of Santa Fe,City of Santa Fe,CITY & COUNTY GOVERNMENT
City of Santa Rosa,City of Santa Rosa,CITY & COUNTY GOVERNMENT
City of Socorro,City of Socorro,CITY & COUNTY GOVERNMENT
CLA Consulting ,CLA Consulting ,BANKING & FINANCE
"Clark, Guy","Clark, Guy",CASINO & GAMING
Clean Water Partnership - Cannon,Clean Water Partnership - Cannon,WATER RESOURCES
Clear Channel Outdoor,Clear Channel Outdoor,"MEDIA INFORMATION, COMMUNICATIONS, & PUBLISHING"
Clinton D. Harden & Assoc.,Clinton D. Harden & Assoc.,LABOR & WORKFORCE
"Clinton D. Harden & Associates, LLC",Clinton D. Harden & Assoc.,LABOR & WORKFORCE
Clovis Community College,Clovis Community College,EDUCATION
"CNSP, Inc, DBA NMSurf","CNSP, Inc, DBA NMSurf",INFORMATION TECHNOLOGY
Coalition for Clean Affordable Energy,Coalition for Clean Affordable Energy,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Coalition for Community Solar Access,Coalition for Community Solar Access,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Coalition of Arizona/New Mexico Counties,Coalition of Arizona/New Mexico Counties,CITY & COUNTY GOVERNMENT
Coalition of Charter Schools,Coalition of Charter Schools,EDUCATION
Coalition of Sustainable Communities NM,Coalition of Sustainable Communities NM,ECONOMIC & SUSTAINABLE DEVELOPMENT
"Coast Range Investments, LLC","Coast Range Investments, LLC",BANKING & FINANCE
Cochiti Pueblo,Cochiti Pueblo,TRIBAL GOVERNMENT
Code.org,Code.org,EDUCATION
COG Operating,COG Operating,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"Cold Plasma, Inc.","Cold Plasma, Inc.",INDUSTRY
Colgene Corporation,Colgene Corporation,INFORMATION TECHNOLOGY
College of American Pathologists,College of American Pathologists,HEALTHCARE
"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC",TELECOM
Comcast Cable Corporation,Comcast Cable Corporation,TELECOM
Comcast Corporation,Comcast Corporation,TELECOM
Commemorative Air Force ,Commemorative Air Force ,MILITARY  & VETERANS
Common Cause of New Mexico,Common Cause of New Mexico,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Common Sense Media,Common Sense Media,"MEDIA INFORMATION, COMMUNICATIONS, & PUBLISHING"
Communications Workers of America Dist. 7,Communications Workers of America Dist. 7,LABOR & WORKFORCE
Communications Workers of America Local 7076,Communications Workers of America Local 7076,LABOR & WORKFORCE
Communities in Action and of Faith (CAFe),Communities in Action and of Faith (CAFe),RELIGIOUS ORGANIZATIONS
Communities in Schools  Inc./Comm in Schools of NM,Communities in Schools  Inc./Comm in Schools of NM,EDUCATION
Community Drug Coalition of Lea County ,Community Drug Coalition of Lea County ,"ALCOHOL, CANNABIS, & TOBACCO"
Community Economics Laboratory,Community Economics Laboratory,ECONOMIC & SUSTAINABLE DEVELOPMENT
Community Financial Service Center-DBA Speedy Loan,Community Financial Service Center-DBA Speedy Loan,BANKING & FINANCE
Community Financial Services Asociation of NM,Community Financial Services Asociation of NM,BANKING & FINANCE
Community Health Systems,Community HEALTHCARE Systems,HEALTHCARE
Community In Schools New Mexico,Community In Schools New Mexico,EDUCATION
Community Loans of America,Community Loans of America,BANKING & FINANCE
Compassion & Choices,Compassion & Choices,HEALTHCARE
Compassionate Touch Network,Compassionate Touch Network,HEALTHCARE
Comprehensive Mobile Insurance Arizona,Comprehensive Mobile Insurance Arizona,INSURANCE
Concerned Citizens for Nuclear Safety,Concerned Citizens for Nuclear Safety,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Concho Resources Inc. ,Concho Resources Inc. ,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"Concho Resources Inc.,","Concho Resources Inc.,","EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Condit & Associates LLC,Condit & Associates LLC,BANKING & FINANCE
Conduent INC,Conduent INC,INDUSTRY
Conectas,Conectas,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Connections Education,Connections Education,EDUCATION
Conoco Phillips,Conoco Phillips,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
ConocoPhillips,ConocoPhillips,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Conservation Voters New Mexico,Conservation Voters New Mexico,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Consumer Credit Industry Association ,Consumer Credit Industry Association ,BANKING & FINANCE
Consumer Data Industry Association,Consumer Data Industry Association,RETAIL & CONSUMER RIGHTS
Consumer Healthcare Products Association,Consumer HEALTHCARE Products Association,HEALTHCARE
Consumer Installment  Loan Association,Consumer Installment  Loan Association,BANKING & FINANCE
Consumer Installment Lenders Association of New Mexico,Consumer Installment Lenders Association of New Mexico,BANKING & FINANCE
"Consumer Lending Alliance, Inc.","Consumer Lending Alliance, Inc.",BANKING & FINANCE
"CONSUMER REPORTS, INC.","CONSUMER REPORTS, INC.",RETAIL & CONSUMER RIGHTS
"Consumers Union of United States, Inc. DBA Consume","Consumers Union of United States, Inc. DBA Consume",RETAIL & CONSUMER RIGHTS
Convention of States Action,Convention of States Action,JUDICIARY & RULES
Cooperative Educational Services,Cooperative Educational Services,EDUCATION
COPART,COPART,TRANSPORTATION
Coral Community Charter School,Coral Community Charter School,EDUCATION
"CoreCivic, Inc.","CoreCivic, Inc.",LAW ENFORCEMENT & CRIME
Coronado Little League,Coronado Little League,SPORTS
Coronado Partners LLC,Coronado Partners LLC,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Coronado Partners/Quay County Gaming Authority,Coronado Partners/Quay County Gaming Authority,CASINO & GAMING
Correctional Health Management,Correctional Health Management,HEALTHCARE
Correctional Helathcare Companies,Correctional Helathcare Companies,HEALTHCARE
Corrections Corporation of America,Corrections Corporation of America,LAW ENFORCEMENT & CRIME
Corrections Department,Corrections Department,LAW ENFORCEMENT & CRIME
Cottonwood Classical Charter School,Cottonwood Classical Charter School,EDUCATION
"Cottonwood Financial Administration Service, LLC","Cottonwood Financial Administration Service, LLC",BANKING & FINANCE
Council For A Strong America,Council For A Strong America,LAW ENFORCEMENT & CRIME
Council for Biotechnology Information (CBI),Council for Biotechnology Information (CBI),INDUSTRY
"Council of State Governments, Justice Center","Council of State Governments, Justice Center",LAW ENFORCEMENT & CRIME
Council of University Presidents (cup),Council of University Presidents (cup),EDUCATION
County of Luna,County of Luna,CITY & COUNTY GOVERNMENT
County of San Miguel ,County of San Miguel ,CITY & COUNTY GOVERNMENT
County of Sierra,County of Sierra,CITY & COUNTY GOVERNMENT
County of Taos,County of Taos,CITY & COUNTY GOVERNMENT
"Courtesy Loans of NM, LLC","Courtesy Loans of NM, LLC",BANKING & FINANCE
Covenant Health System,Covenant HEALTHCARE System,HEALTHCARE
Covenant Pathways,Covenant Pathways,RANCHING & AGRICULTURE
Cowart Dizzia LLP,Cowart Dizzia LLP,HEALTHCARE
CPLC New Mexico Inc.,CPLC New Mexico Inc.,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
CPV Lazy J Renewable Energy Company,CPV Lazy J Renewable Energy Company,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Credit Union Association of New Mexico,Credit Union Association of New Mexico,BANKING & FINANCE
Cronic Disease Prevention Council,Cronic Disease Prevention Council,HEALTHCARE
CropLife America,CropLife America,RANCHING & AGRICULTURE
Crown Castle,Crown Castle,TELECOM
CTIA-The Wireless Association,CTIA-The Wireless Association,TELECOM
Cumbres & Toltec Scenic Railroad,Cumbres & Toltec Scenic Railroad,TRANSPORTATION
Curry County,Curry County,CITY & COUNTY GOVERNMENT
CVS Health,CVS Health,HEALTHCARE
Cypress Creek Renewables,Cypress Creek Renewables,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
CYRQ Energy,CYRQ Energy,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Cyrq Energy Inc.,Cyrq Energy Inc.,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
"CYRQ Energy, Inc. ","CYRQ Energy, Inc. ",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Cystic Fibrosis Advisory Council,Cystic Fibrosis Advisory Council,HEALTHCARE
D/B/A Accelerated Water Resources,D/B/A Accelerated Water Resources,WATER RESOURCES
D/B/A Emergent BioSolutions,D/B/A Emergent BioSolutions,INDUSTRY
D/B/A National Strategies,D/B/A National Strategies,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
DAHL Plumbing,DAHL Plumbing,INDUSTRY
"Dahn Yoga & Health Centers, Inc","Dahn Yoga & HEALTHCARE Centers, Inc",HEALTHCARE
Dairy Farmers of America Inc.,Dairy Farmers of America Inc.,RANCHING & AGRICULTURE
Dairy Industry Group for a Clean Environment,Dairy Industry Group for a Clean Environment,RANCHING & AGRICULTURE
Dairy Producers of New Mexico,Dairy Producers of New Mexico,RANCHING & AGRICULTURE
Dara Luz Birth Center ,Dara Luz Birth Center ,HEALTHCARE
Darden Restaurants ,Darden Restaurants ,"RESTAURANT, FOOD & BEVERAGE "
"Darden, Inc.","Darden, Inc.","RESTAURANT, FOOD & BEVERAGE "
Data Recognition Corporation,Data Recognition Corporation,INFORMATION TECHNOLOGY
Davita,Davita,HEALTHCARE
DaVita Medical Group ,DaVita Medical Group ,HEALTHCARE
DaVita Rx,DaVita Rx,HEALTHCARE
DCP Midstream,DCP Midstream,BANKING & FINANCE
Defenders of Wildlife,Defenders of Wildlife,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Deloitte Consulting,Deloitte Consulting,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Delta Airlines,Delta Airlines,TRANSPORTATION
"Delta Consulting Group, Inc. ","Delta Consulting Group, Inc. ","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
"Delta Consulting Group, LLC","Delta Consulting Group, Inc. ","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Delta Dental Plan of New Mexico ,Delta Dental Plan of New Mexico ,HEALTHCARE
Deming Realty Co.,Deming Realty Co.,REAL ESTATE & CONSTRUCTION
Department of Dine Education,Department of Dine Education,EDUCATION
Desert States Physical Therapy Network,Desert States Physical Therapy Network,HEALTHCARE
Devon Energy Corporation,Devon Energy Corporation,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"Dexcom, Inc.","Dexcom, Inc.",INDUSTRY
Diablo Fireworks,Diablo Fireworks,OTHER
Dickerson Catering ,Dickerson Catering ,"RESTAURANT, FOOD & BEVERAGE "
Digital Arts & Technology Academy,Digital Arts & Technology Academy,EDUCATION
Dine College,Dine College,EDUCATION
Direct Therapy Services,Direct Therapy Services,HEALTHCARE
Disability Coalition C/O Disability Rights New Mexico,Disability Coalition C/O Disability Rights New Mexico,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Disability Rights New Mexico,Disability Rights New Mexico,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Distilled Spirits Council of the United States ,Distilled Spirits Council of the United States ,"ALCOHOL, CANNABIS, & TOBACCO"
District 1199 NM,District 1199 NM,HEALTHCARE
District 1199 NM Natnl. Union of Hosptial & Health,District 1199 NM Natnl. Union of Hosptial & HEALTHCARE,HEALTHCARE
DJR Energy,DJR Energy,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
DNA Saves,DNA Saves,LAW ENFORCEMENT & CRIME
Domenici Insights,Domenici Insights,BANKING & FINANCE
Dona Ana County,Dona Ana County,CITY & COUNTY GOVERNMENT
Dona Ana Medical Supply,Dona Ana Medical Supply,HEALTHCARE
Dona Ana Mutual Domestic Waste Consumers Association,Dona Ana Mutual Domestic Water Consumers Association,WATER RESOURCES
"DraftKings, Inc.","DraftKings, Inc.",CASINO & GAMING
Dream Train Consulting,Dream Train Consulting,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Drug Policy Alliance,Drug Policy Alliance NM,"ALCOHOL, CANNABIS, & TOBACCO"
Drug Policy Alliance NM,Drug Policy Alliance NM,"ALCOHOL, CANNABIS, & TOBACCO"
Dupont,Dupont,INDUSTRY
DXC Technology Company,DXC Technology Company,INFORMATION TECHNOLOGY
Earthjustice,Earthjustice,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Eastern New Mexico University-Portales,Eastern New Mexico University-Portales,EDUCATION
Eastern NM Rural Water Authority,Eastern NM Rural Water Authority,WATER RESOURCES
Eastern Sandoval County Arroyo Flood Control,Eastern Sandoval County Arroyo Flood Control,WATER RESOURCES
Economic Forum,Economic Forum,ECONOMIC & SUSTAINABLE DEVELOPMENT
Eddy/Lea Energy Alliance,Eddy/Lea Energy Alliance,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
EDF Renewable Development,EDF Renewable Development,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
EDF Renewables,EDF Renewables,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Edgenuity,Edgenuity,EDUCATION
Educate New Mexico,Educate New Mexico,EDUCATION
"Education Futures Group, LLC","Education Futures Group, LLC",EDUCATION
Education Networks of America,Education Networks of America,EDUCATION
EECOM LLC,EECOM LLC,INFORMATION TECHNOLOGY
El Camino Real Academy,El Camino Real Academy,EDUCATION
El Castillo Retirement Residences,El Castillo Retirement Residences,"SENIOR, FAMILY & YOUTH ADVOCACY"
El Paso Corporation,El Paso Corporation,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
El Paso County Hospital District,El Paso County Hospital District,HEALTHCARE
El Paso Electric Company,El Paso Electric Company,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
El Prado Water and Sanitation District,El Prado Water and Sanitation District,WATER RESOURCES
Eldorado Biofuels,Eldorado Biofuels,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Elephant Butte Irrigation District,Elephant Butte Irrigation District,WATER RESOURCES
Elevator Industry Work Preservation Fund ,Elevator Industry Work Preservation Fund ,LABOR & WORKFORCE
Elevator Industy Work Preservation Fund,Elevator Industry Work Preservation Fund ,LABOR & WORKFORCE
"Eli Lilly Company, Inc.","Eli Lilly Company, Inc.",PHARMACEUTICALS
Emergent Biosolutions,Emergent Biosolutions,INDUSTRY
EMR LLC,EMR LLC,HEALTHCARE
ENA,ENA,HEALTHCARE
Encana Oil & Gas (USA) Inc. ,Encana Oil & Gas (USA) Inc. ,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Encana Services,Encana Services,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Enchant Energy Corporation,Enchant Energy Corporation,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
"Enchantment Pilates, LLC - Club Pilates New Mexico","Enchantment Pilates, LLC - Club Pilates New Mexico",SPORTS
Energen,Energen,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Energy Fuels Inc.,Energy Fuels Inc.,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"Energy Fuels, Inc. ","Energy Fuels, Inc. ","EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"Energy Transfer Partners, L.P.","Energy Transfer Partners, L.P.",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Energyadvocate LLC,Energyadvocate LLC,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Enlisted Association Legislative Interests,Enlisted Association Legislative Interests,JUDICIARY & RULES
ENMU,ENMU,EDUCATION
ENMU ,ENMU ,EDUCATION
"Enterprise Field Services, LLC ","Enterprise Field Services, LLC ","EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Enterprise Holdings,Enterprise Holdings,TRANSPORTATION
Enterprise Products Company,Enterprise Products Company,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Enterprise Products Operating LLC,Enterprise Products Operating LLC,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"Enterprise Products Operating, LLC","Enterprise Products Operating, LLC","EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Enterprise Products Partners L.P.,Enterprise Products Partners L.P.,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Entertainment Software Association,Entertainment Software Association,EDUCATION
Environment New Mexico ,Environment New Mexico ,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Environmental Defense Action Fund (EDAF),Environmental Defense Action Fund (EDAF),"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
"EOG Resources, Inc.","EOG Resources, Inc.","EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
EPCOR Water New Mexico Inc.,EPCOR Water New Mexico Inc.,WATER RESOURCES
"EPCOR Water New Mexico, Inc","EPCOR Water New Mexico, Inc",WATER RESOURCES
Equality New Mexico,Equality New Mexico,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Eric Martinez Government Relations LLC,Eric Martinez Government Relations LLC,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
ESCAFCA,Eastern Sandoval County Arroyo Flood Control Authority,WATER RESOURCES
Espanola Public School District,Espanola Public School District,EDUCATION
ESPN,ESPN,"MEDIA INFORMATION, COMMUNICATIONS, & PUBLISHING"
Everest Apothecary,Everest Apothecary,"ALCOHOL, CANNABIS, & TOBACCO"
Everytown for Gun Safety Action Fund,Everytown for Gun Safety Action Fund,"FIREARMS, GUNS & AMMUNITION"
"Excellence in Education National, Inc. ","Excellence in Education National, Inc. ",EDUCATION
Excellent Schools NM,Excellent Schools NM,EDUCATION
"Exelon Generation Company, LLC","Exelon Generation Company, LLC",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Expedia Group,Expedia Group,TOURISM
Explora Museum,Explora Museum,ARTS & CULTURE
Express Ranches/ UU Bar,Express Ranches/ UU Bar,RANCHING & AGRICULTURE
Express Scripts Holding Co.,Express Scripts Holding Co.,HEALTHCARE
"Express Scripts, Inc.","Express Scripts, Inc.",HEALTHCARE
Exxon Mobil Corporation,Exxon Mobil Corporation,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"F2B Alliance, LLC","F2B Alliance, LLC",FILM
Facebook Inc. ,Facebook Inc. ,INFORMATION TECHNOLOGY
"Fair Heights Neighboorhood  Association, Inc. ","Fair Heights Neighboorhood  Association, Inc. ",REAL ESTATE & CONSTRUCTION
"Familes and Youth, Inc.","Familes and Youth, Inc.","SENIOR, FAMILY & YOUTH ADVOCACY"
Family Policy Alliance,Family Policy Alliance,"SENIOR, FAMILY & YOUTH ADVOCACY"
"FanDuel, Inc. ","FanDuel, Inc. ",CASINO & GAMING
Farm Credit of New Mexico ,Farm Credit of New Mexico ,BANKING & FINANCE
"Farm to Table, Inc.","Farm to Table, Inc.","RESTAURANT, FOOD & BEVERAGE "
Farmers Insurance Property & Casualty,Farmers Insurance Property & Casualty,INSURANCE
Farmington Municipal Schools,Farmington Municipal Schools,EDUCATION
Fast Bucks,Fast Bucks,BANKING & FINANCE
Fast Forward Consulting,Fast Forward Consulting,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
FastBucks ,FastBucks ,BANKING & FINANCE
Fedex Corporation,Fedex Corporation,INDUSTRY
Fenn Farms ,Fenn Farms ,RANCHING & AGRICULTURE
FGM3 Environmental,FGM3 Environmental,BANKING & FINANCE
Fidelity Investments,Fidelity Investments,BANKING & FINANCE
FireBrand,FireBrand,"ALCOHOL, CANNABIS, & TOBACCO"
"Floglstlx, Inc.","Floglstlx, Inc.",TRANSPORTATION
Floridian Partners ,Floridian Partners ,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
FMR LLC,FMR LLC,BANKING & FINANCE
Food & Water Watch ,Food & Water Watch ,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Food Industry Sel Insurance Fund of New Mexico,Food Industry Sel Insurance Fund of New Mexico,"RESTAURANT, FOOD & BEVERAGE "
"Forest City Covington New Mexico, LLC.","Forest City Covington New Mexico, LLC.","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Forest City Covington NM LLC,Forest City Covington NM LLC,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Forever Energy Consulting LLC,Forever Energy Consulting LLC,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Fort Sill Apache Economic Development,Fort Sill Apache Economic Development,ECONOMIC & SUSTAINABLE DEVELOPMENT
Fort Sill Apache Tribe,Fort Sill Apache Tribe,TRIBAL GOVERNMENT
FORWARD TOGETHER,FORWARD TOGETHER,"SENIOR, FAMILY & YOUTH ADVOCACY"
Foundation for Government Accountability,Foundation for Government Accountability,JUDICIARY & RULES
"Four Corners Home Health Care - NM, LLC","Four Corners Home HEALTHCARE Care - NM, LLC",HEALTHCARE
"FPL Energy, LLC. (NextEra Energy)","FPL Energy, LLC. (NextEra Energy)",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Francis Energy,Francis Energy,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
"Francis EVC, LLC.","Francis EVC, LLC.",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Freeport McMoran Copper & Gold ,Freeport McMoran Copper & Gold ,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"Freeport-McMoran, Inc.","Freeport-McMoran, Inc.","EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Frontier Communications,Frontier Communications,TELECOM
Ft. Sill Apache Economic Development,Fort Sill Apache Economic Development,ECONOMIC & SUSTAINABLE DEVELOPMENT
"FuelCell Energy, Inc.","FuelCell Energy, Inc.",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Fundamental clinical Operations,Fundamental clinical Operations,HEALTHCARE
G & K Governmental Affairs LLC,G & K Governmental Affairs LLC,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
"G&K Government Affairs, LLC","G&K Government Affairs, LLC","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
"G.I. LLC, Inc.","G.I. LLC, Inc.",HEALTHCARE
"Gallagher and Kennedy, PA","Gallagher and Kennedy, PA","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Gallup Inter-Tribal Ceremonial Assoc.,Gallup Inter-Tribal Ceremonial Assoc.,TRIBAL GOVERNMENT
"Gallup, BID Inc.","Gallup, BID Inc.",ECONOMIC & SUSTAINABLE DEVELOPMENT
Gallup-McKinley County Chamber of Commerce,Gallup-McKinley County Chamber of Commerce,ECONOMIC & SUSTAINABLE DEVELOPMENT
Gallup-McKinley County School District ,Gallup-McKinley County School District ,EDUCATION
Garrett Development Corporation ,Garrett Development Corporation ,REAL ESTATE & CONSTRUCTION
"Gavilan Solutions, LLC","Gavilan Solutions, LLC","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
GCC Rio Grande ,GCC Rio Grande ,REAL ESTATE & CONSTRUCTION
"Genentech, Inc., A member of the Roche Group","Genentech, Inc., A member of the Roche Group",INDUSTRY
"General Dynamics Information Technology, Inc.","General Dynamics Information Technology, Inc.","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
General Motors,General Motors,TRANSPORTATION
"General Motors, LLC.","General Motors, LLC.",TRANSPORTATION
Genesis Healthcare,Genesis HEALTHCARE,HEALTHCARE
"Genetech, Inc., A member of the Roche Group","Genetech, Inc., A member of the Roche Group",INDUSTRY
George K. Baum & Company ,George K. Baum & Company ,BANKING & FINANCE
Georgia O'Keefe Museum,Georgia O'Keefe Museum,ARTS & CULTURE
Georgia O'Keffe Museum,Georgia O'Keefe Museum,ARTS & CULTURE
GEP Corporation ,GEP Corporation ,INDUSTRY
Geronimo energy,Geronimo energy,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
"Getaround, Inc","Getaround, Inc",TRANSPORTATION
Giffords,Giffords PAC,"FIREARMS, GUNS & AMMUNITION"
Giffords PAC,Giffords PAC,"FIREARMS, GUNS & AMMUNITION"
Gila Resources Information Project,Gila Resources Information Project,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Gilbert L. Sena Charter High School,Gilbert L. Sena Charter High School,EDUCATION
Gilfords PAC,Giffords PAC,"FIREARMS, GUNS & AMMUNITION"
Girls Inc. of Santa Fe,Girls Inc. of Santa Fe,"SENIOR, FAMILY & YOUTH ADVOCACY"
GlaxoSmithKline,GlaxoSmithKline,PHARMACEUTICALS
GlidePath Development LLC,GlidePath Development LLC,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Golden Apple Foundation,Golden Apple Foundation,EDUCATION
Golden Rule Insurance Company ,Golden Rule Insurance Company ,INSURANCE
Gonzales & Associates LLC,Gonzales & Associates LLC,"RESTAURANT, FOOD & BEVERAGE "
Google LLC and its Affiliates,Google LLC and its Affiliates,INFORMATION TECHNOLOGY
Gordon Bernell Charter Schools,Gordon Bernell Charter Schools,EDUCATION
Go-Station Inc.,Go-Station Inc.,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
GovDelivery,GovDelivery,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
"GovWhiz, Inc.","GovWhiz, Inc.","MEDIA INFORMATION, COMMUNICATIONS, & PUBLISHING"
GPA Midstream Association,GPA Midstream Association,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Graduation Alliance,Graduation Alliance,EDUCATION
Grant County,Grant County,CITY & COUNTY GOVERNMENT
Greater Albuquerque Assoc. of Realtors ,Greater Albuquerque Assoc. of Realtors ,REAL ESTATE & CONSTRUCTION
Greater Albuquerque Chamber of Commerce,Greater Albuquerque Chamber of Commerce,ECONOMIC & SUSTAINABLE DEVELOPMENT
Greater Albuquerque Medical Association,Greater Albuquerque Medical Association,HEALTHCARE
Greater Las Cruces Chamber of Commerce,Greater Las Cruces Chamber of Commerce,ECONOMIC & SUSTAINABLE DEVELOPMENT
Green Apple Accreditation of Children's Services ,Green Apple Accreditation of Children's Services ,"SENIOR, FAMILY & YOUTH ADVOCACY"
"Greenwich Biosciences, Inc. ","Greenwich Biosciences, Inc. ",INDUSTRY
"Gregory Rockhouse Ranch, LLC","Gregory Rockhouse Ranch, LLC",RANCHING & AGRICULTURE
Grief Resource Center,Grief Resource Center,OTHER
Grocery Manufactures Association,Grocery Manufactures Association,"RESTAURANT, FOOD & BEVERAGE "
H & R Block,H & R Block,BANKING & FINANCE
"Harris Silver, MD Consulting ","Harris Silver, MD Consulting ","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Haven Behavioral Hospital of Albuquerque,Haven Behavioral Hospital of Albuquerque,HEALTHCARE
Haven Behavioral Senior Care of Albuquerque,Haven Behavioral Senior Care of Albuquerque,HEALTHCARE
