Name of Candidate/Public Official/Ballot Issue,Name of Candidate/Public Official/Ballot Issue2,SponsorLink_join,
Abbas Ahkil,Abbas Ahkil,Abbas Akhil,
Abbas Akhil,Abbas Akhil,Abbas Akhil,
Abbas Akhil ,Abbas Akhil,Abbas Akhil,
Abbas Akhil for NM,Abbas Akhil for NM,Abbas Akhil,
Abbas Akil,Abbas Akil,Abbas Akhil,
Committee to Elect Abbas A. Akhil,Committee to Elect Abbas A. Akhil,Abbas Akhil,
Committee to Re-elect Abbas Akhil,Committee to Re-elect Abbas Akhil,Abbas Akhil,
Rep. Alanzo Baldonado,Rep. Alanzo Baldonado,Alonzo Baldonado,
Rep. Alonzo Baldanado,Rep. Alonzo Baldanado,Alonzo Baldonado,
A. Baldonado,A. Baldonado,Alonzo Baldonado,
Alanzo Baldanado,Alanzo Baldanado,Alonzo Baldonado,
Alanzo Baldonado,Alanzo Baldonado,Alonzo Baldonado,
Alonso Balanado,Alonso Balanado,Alonzo Baldonado,
Alonso Baldonado ,Alonso Baldonado,Alonzo Baldonado,
Alonso Baldonado (In kind),Alonso Baldonado (In kind),Alonzo Baldonado,
Alonzo Baldanado,Alonzo Baldanado,Alonzo Baldonado,
Alonzo Baldenado,Alonzo Baldenado,Alonzo Baldonado,
Alonzo Baldona,Alonzo Baldona,Alonzo Baldonado,
Alonzo Baldonada,Alonzo Baldonada,Alonzo Baldonado,
Alonzo Baldonado,Alonzo Baldonado,Alonzo Baldonado,
Alonzo Baldonado ,Alonzo Baldonado,Alonzo Baldonado,
Alonzo Baldonado (for Isleta Pueblo),Alonzo Baldonado (for Isleta Pueblo),Alonzo Baldonado,
Alonzo Baldonado (on behalf of Occidental),Alonzo Baldonado (on behalf of Occidental),Alonzo Baldonado,
Alonzo Baldonado Campaign,Alonzo Baldonado Campaign,Alonzo Baldonado,
Alonzo Baldonado Committee,Alonzo Baldonado Committee,Alonzo Baldonado,
Alonzo Baldonado for Representative,Alonzo Baldonado for Representative,Alonzo Baldonado,
Alonzo Baldonado for WPX Energy,Alonzo Baldonado for WPX Energy,Alonzo Baldonado,
Alonzo Baldonado on behalf of Molina,Alonzo Baldonado on behalf of Molina,Alonzo Baldonado,
 Alonzo Baldonado Re-Elect ,Alonzo Baldonado Re-Elect,Alonzo Baldonado,
Alonzo Baldonardo,Alonzo Baldonardo,Alonzo Baldonado,
Alonzo Balonado,Alonzo Balonado,Alonzo Baldonado,
Alonzo Bladonado,Alonzo Bladonado,Alonzo Baldonado,
Baldonado A,Baldonado A,Alonzo Baldonado,
"Baldonado, A","Baldonado, A",Alonzo Baldonado,
Campaign to Elect Alonzo Baldonado (Cash America) ,Campaign to Elect Alonzo Baldonado (Cash America),Alonzo Baldonado,
Coalition to Elect Alonzo,Coalition to Elect Alonzo,Alonzo Baldonado,
Coalition to Elect Alonzo ,Coalition to Elect Alonzo,Alonzo Baldonado,
Coalition to Elect Alonzo Baldonado,Coalition to Elect Alonzo Baldonado,Alonzo Baldonado,
Coalition to Elect Alonzo Baldonado (State Rep.),Coalition to Elect Alonzo Baldonado (State Rep.),Alonzo Baldonado,
Coalition to Elect Alonzo Campaign (RAI),Coalition to Elect Alonzo Campaign (RAI),Alonzo Baldonado,
Commitee to Re-Elect Alonzo Baldonado,Commitee to Re-Elect Alonzo Baldonado,Alonzo Baldonado,
Commitee to Re-Elect Alonzo Baldonado ,Commitee to Re-Elect Alonzo Baldonado,Alonzo Baldonado,
Committee to Elect Alanzo Baldanado,Committee to Elect Alanzo Baldanado,Alonzo Baldonado,
Committee to Elect Alonza Baldonado,Committee to Elect Alonza Baldonado,Alonzo Baldonado,
Committee to Elect Alonzo,Committee to Elect Alonzo,Alonzo Baldonado,
Committee to Elect Alonzo Baldonado,Committee to Elect Alonzo Baldonado,Alonzo Baldonado,
Committee to Elect Alonzo Baldonado ,Committee to Elect Alonzo Baldonado,Alonzo Baldonado,
Committee to Re-elect Alonzo Baldonado,Committee to Re-elect Alonzo Baldonado,Alonzo Baldonado,
Committeee to Re-elect Alonzo Baldonado,Committeee to Re-elect Alonzo Baldonado,Alonzo Baldonado,
Committtee to Elect Alonzo Baldonado,Committtee to Elect Alonzo Baldonado,Alonzo Baldonado,
CTE Alonzo Baldonado (Dup to Dan Weaks),CTE Alonzo Baldonado (Dup to Dan Weaks),Alonzo Baldonado,
CTE Alonzo Baldonado (Dup to Marla Shoats),CTE Alonzo Baldonado (Dup to Marla Shoats),Alonzo Baldonado,
CTE Rep. Alonso Baldonado,CTE Rep. Alonso Baldonado,Alonzo Baldonado,
CTE Rep. Alonzo Baldonado,CTE Rep. Alonzo Baldonado,Alonzo Baldonado,
CTE Rep. Alonzo Baldonado ,CTE Rep. Alonzo Baldonado,Alonzo Baldonado,
Elect Alonzo Baldonado,Elect Alonzo Baldonado,Alonzo Baldonado,
Re-elect Alonzo Baldonado,Re-elect Alonzo Baldonado,Alonzo Baldonado,
Rep Alonso Maldonado,Rep Alonso Maldonado,Alonzo Baldonado,
Rep Alonzo Baldanado,Rep Alonzo Baldanado,Alonzo Baldonado,
Rep Alonzo Baldonado,Rep Alonzo Baldonado,Alonzo Baldonado,
The Coalition to Elect Alonzo Baldonado,The Coalition to Elect Alonzo Baldonado,Alonzo Baldonado,
CTE Rep Alonzo Baldonado,CTE Rep Alonzo Baldonado,Alonzo Baldonado,
Rep. Alonzo Baldonado on behalf of Occidental,Rep. Alonzo Baldonado on behalf of Occidental,Alonzo Baldonado,
Representative Alonzo Baldonado,Representative Alonzo Baldonado,Alonzo Baldonado,
Rep. Alonzo Baldonado,Rep. Alonzo Baldonado,Alonzo Baldonado,
Rep. Alonzo Balonado,Rep. Alonzo Balonado,Alonzo Balonado,
Rep. Alozo Baldonado,Rep. Alozo Baldonado,Alonzo Balonado,
Andrea Romer of NM House,Andrea Romer of NM House,Andrea Romero,
Andrea Romero,Andrea Romero,Andrea Romero,
Andrea Romero ,Andrea Romero,Andrea Romero,
Andrea Romero Committee,Andrea Romero Committee,Andrea Romero,
Andrea Romero for NM House District 46,Andrea Romero for NM House District 46,Andrea Romero,
Andreas Romero,Andreas Romero,Andrea Romero,
Andres Romero,Andres Romero,Andrea Romero,
Andres Romero ,Andres Romero,Andrea Romero,
Andres Romero Committee,Andres Romero Committee,Andrea Romero,
Andres Romero for Rep,Andres Romero for Rep,Andrea Romero,
Andres Romero fro Representative,Andres Romero fro Representative,Andrea Romero,
Andres Romero House Re-Elect,Andres Romero House Re-Elect,Andrea Romero,
Committee to Elect Andres Romero ,Committee to Elect Andres Romero,Andrea Romero,
Committee to Re-elect Andrea Romero,Committee to Re-elect Andrea Romero,Andrea Romero,
Committee to Re-Elect Andres Romero,Committee to Re-Elect Andres Romero,Andrea Romero,
People to Reelect Andres Romero,People to Reelect Andres Romero,Andrea Romero,
Representative Andrea Romero,Representative Andrea Romero,Andrea Romero,
Rep. Andrea Romero,Rep. Andrea Romero,Andrea Romero,
Commitee to Re-elect Andres Romero,Commitee to Re-elect Andres Romero,Andres Romero,
Rep. Andres Romero,Rep. Andres Romero,Andres Romero,
Rep. Andres Romero ,Rep. Andres Romero ,Andres Romero,
Rep. Andres Tomero,Rep. Andres Tomero,Andres Tomero,
Andrew Nunez,Andrew Nunez,Andy Nunez,
Andy Nunez,Andy Nunez,Andy Nunez,
Andy Nunez ,Andy Nunez,Andy Nunez,
Andy Nunez (on behalf of Horizon-Ag),Andy Nunez (on behalf of Horizon-Ag),Andy Nunez,
Andy Nunez Campaign,Andy Nunez Campaign,Andy Nunez,
Andy Nunez Campaign (Farmers Insurance),Andy Nunez Campaign (Farmers Insurance),Andy Nunez,
Andy Nunez Campaign (RAI),Andy Nunez Campaign (RAI),Andy Nunez,
Andy Nunez Campaign Committee,Andy Nunez Campaign Committee,Andy Nunez,
Andy Nunez on behalf of Horizon-Ag,Andy Nunez on behalf of Horizon-Ag,Andy Nunez,
Andy Nunez on behalf of Occidental,Andy Nunez on behalf of Occidental,Andy Nunez,
Committee to Elect 2016 Andy Nunez,Committee to Elect 2016 Andy Nunez,Andy Nunez,
Committee to Elect Andrew Nunez,Committee to Elect Andrew Nunez,Andy Nunez,
Committee to Elect Andy Nunez ,Committee to Elect Andy Nunez,Andy Nunez,
"Committee to Re-Elect Andrew ""Andy"" Nunez","Committee to Re-Elect Andrew ""Andy"" Nunez",Andy Nunez,
Committee to Re-elect Andy Nunez,Committee to Re-elect Andy Nunez,Andy Nunez,
Comte to Elect Nunez(Ck from Union Pacific),Comte to Elect Nunez(Ck from Union Pacific),Andy Nunez,
Elect Andy Nunez,Elect Andy Nunez,Andy Nunez,
Friends of Andy Nunez (NMIFA-Royal Management),Friends of Andy Nunez (NMIFA-Royal Management),Andy Nunez,
Rep Andy Nunez   Duplicate to Dan Weaks,Rep Andy Nunez Duplicate to Dan Weaks,Andy Nunez,
Rep Andy Nunez  Duplicate to Dan Weaks,Rep Andy Nunez Duplicate to Dan Weaks,Andy Nunez,
Rep Andy Nunez  Duplicate to Marla Shoats,Rep Andy Nunez Duplicate to Marla Shoats,Andy Nunez,
Rep. Andy Nunez     (CCA),Rep. Andy Nunez (CCA),Andy Nunez,
Rep. Andy Nunez,Rep. Andy Nunez,Andy Nunez,
Angelica Rubio,Angelica Rubio,Angelica Rubio,
Angelica Rubio Committee,Angelica Rubio Committee,Angelica Rubio,
Angelica Rubio for Representative,Angelica Rubio for Representative,Angelica Rubio,
Angelica Rubio for State Rep,Angelica Rubio for State Rep,Angelica Rubio,
Angelicia Rubio,Angelicia Rubio,Angelica Rubio,
Rep. Angelica Rubio,Rep. Angelica Rubio,Angelica Rubio,
Rep. Ann Crook,Rep. Ann Crook,Ann Crook,
Re-elect Anthony Allison,Re-elect Anthony Allison,Anthony Allison,
"Allison, A","Allison, A",Anthony Allison,
Anthony Allison,Anthony Allison,Anthony Allison,
Anthony Allison ,Anthony Allison,Anthony Allison,
Anthony Allison for N.M. House,Anthony Allison for N.M. House,Anthony Allison,
Anthony Allison for NM House,Anthony Allison for NM House,Anthony Allison,
Anthony Allison for NM House District 4,Anthony Allison for NM House District 4,Anthony Allison,
Committee to Elect Anthony Allison ,Committee to Elect Anthony Allison,Anthony Allison,
Committee to Re-elect Anthony Allison,Committee to Re-elect Anthony Allison,Anthony Allison,
CTE Anthony Allison,CTE Anthony Allison,Anthony Allison,
Rep. Anthony Allison,Rep. Anthony Allison,Anthony Allison,
Antoinette Sedillo Lopez,Antoinette Sedillo Lopez,Antoinette Sedillo Lopez,
Antoinette Sedillo-Lopez,Antoinette Sedillo-Lopez,Antoinette Sedillo Lopez,
Antoino Maestas,Antoino Maestas,Antoinette Sedillo Lopez,
Antoniette Sedio Lopez,Antoniette Sedio Lopez,Antoinette Sedillo Lopez,
Sen. Antoinette Sedillo Lopez,Sen. Antoinette Sedillo Lopez,Antoinette Sedillo Lopez,
Comte to Reelect Sen Lopez(Ck from Union Pacific),Comte to Reelect Sen Lopez(Ck from Union Pacific),Antoinette Sedillo Lopez,
Rep. Antonio Maestas,Rep. Antonio Maestas,Antonio Moe Maestas,
Representative Moe Maestas,Representative Moe Maestas,Antonio Moe Maestas,
CTE Rep Moe Maestas,CTE Rep Moe Maestas,Antonio Moe Maestas,
CTE Rep. Moe Maestas,CTE Rep. Moe Maestas,Antonio Moe Maestas,
Re-elect Antonio Maestas,Re-elect Antonio Maestas,Antonio Moe Maestas,
"Rep. Antonio ""Moe"" Maestas","Rep. Antonio ""Moe"" Maestas",Antonio Moe Maestas,
"Rep. Antonio ""Moe"" Maestas'","Rep. Antonio ""Moe"" Maestas'",Antonio Moe Maestas,
"Representative Antonio ""Moe"" Maestas","Representative Antonio ""Moe"" Maestas",Antonio Moe Maestas,
Rep. Moe Maestas PAC,Rep. Moe Maestas PAC,Antonio Moe Maestas,
Rep. Moe Maestas   (personal),Rep. Moe Maestas (personal),Antonio Moe Maestas,
Rep. Moe Maestas    (T-Mobile),Rep. Moe Maestas (T-Mobile),Antonio Moe Maestas,
Representative Antonio Maestas,Representative Antonio Maestas,Antonio Moe Maestas,
Antiono Maestas,Antiono Maestas,Antonio Moe Maestas,
"Antonio ""Mo"" Maestas Re-Elect","Antonio ""Mo"" Maestas Re-Elect",Antonio Moe Maestas,
"Antonio ""Moe"" Maestas","Antonio ""Moe"" Maestas",Antonio Moe Maestas,
"Antonio ""Moe"" Maestas (Lovelace) ","Antonio ""Moe"" Maestas (Lovelace)",Antonio Moe Maestas,
"Antonio ""Moe"" Maestas Campaign Fund","Antonio ""Moe"" Maestas Campaign Fund",Antonio Moe Maestas,
"Antonio ""Moe"" Maestas for Representative","Antonio ""Moe"" Maestas for Representative",Antonio Moe Maestas,
"Antonio ""Moe"" Maestas for WPX Energy","Antonio ""Moe"" Maestas for WPX Energy",Antonio Moe Maestas,
" Antonio ""Moe"" Maestas Re-Elect ","Antonio ""Moe"" Maestas Re-Elect",Antonio Moe Maestas,
Antonio ï¿½Moeï¿½ Maestas ,Antonio ï¿½Moeï¿½ Maestas,Antonio Moe Maestas,
Antonio ï¿½Moeï¿½ Maestas for New Mexico (State Rep.),Antonio ï¿½Moeï¿½ Maestas for New Mexico (State Rep.),Antonio Moe Maestas,
Antonio Maestas,Antonio Maestas,Antonio Moe Maestas,
Antonio Maestas ,Antonio Maestas,Antonio Moe Maestas,
Antonio Maestas    ,Antonio Maestas,Antonio Moe Maestas,
Antonio Maestas - Moe PAC,Antonio Maestas - Moe PAC,Antonio Moe Maestas,
Antonio Maestas - Moe PAC ,Antonio Maestas - Moe PAC,Antonio Moe Maestas,
Antonio Maestas (client),Antonio Maestas (client),Antonio Moe Maestas,
Antonio Maestas for New Mexico (State Rep.),Antonio Maestas for New Mexico (State Rep.),Antonio Moe Maestas,
Antonio Maestas for Representative,Antonio Maestas for Representative,Antonio Moe Maestas,
Antonio Moe Maestas,Antonio Moe Maestas,Antonio Moe Maestas,
Antonio Moe Maestas ,Antonio Moe Maestas,Antonio Moe Maestas,
Antonio 'Moe' Maestas,Antonio 'Moe' Maestas,Antonio Moe Maestas,
Antonio Moe Maestas (ABQ STUDIOS),Antonio Moe Maestas (ABQ STUDIOS),Antonio Moe Maestas,
Committee to Elect Antonio Maestas,Committee to Elect Antonio Maestas,Antonio Moe Maestas,
Committee to Elect Antonio Maestas Maestas for New,Committee to Elect Antonio Maestas Maestas for New,Antonio Moe Maestas,
Committee to Elect Moe Maestas,Committee to Elect Moe Maestas,Antonio Moe Maestas,
Committee to Re-elct Antonio Maestas,Committee to Re-elct Antonio Maestas,Antonio Moe Maestas,
"Committee to Re-Elect Antonio ""Moe"" Maestas","Committee to Re-Elect Antonio ""Moe"" Maestas",Antonio Moe Maestas,
Committee to Re-elect Antonio Maestas,Committee to Re-elect Antonio Maestas,Antonio Moe Maestas,
Committee to Re-Elect Moe Maestas,Committee to Re-Elect Moe Maestas,Antonio Moe Maestas,
CTE Moe Maestas (Dup to Dan Weaks),CTE Moe Maestas (Dup to Dan Weaks),Antonio Moe Maestas,
CTE Moe Maestas (Dup to Marla Shoats),CTE Moe Maestas (Dup to Marla Shoats),Antonio Moe Maestas,
"CTE Rep. Antonio ""Moe"" Maestas","CTE Rep. Antonio ""Moe"" Maestas",Antonio Moe Maestas,
CTE Rep. Antonio Moe Maestas ,CTE Rep. Antonio Moe Maestas,Antonio Moe Maestas,
Maestas,Maestas,Antonio Moe Maestas,
Maestas ,Maestas,Antonio Moe Maestas,
Maestas 14,Maestas 14,Antonio Moe Maestas,
Maestas 2012,Maestas 2012,Antonio Moe Maestas,
Maestas 2014 ,Maestas 2014,Antonio Moe Maestas,
Maestas 2014(Ck from Union Pacific),Maestas 2014(Ck from Union Pacific),Antonio Moe Maestas,
Maestas for New Mexico,Maestas for New Mexico,Antonio Moe Maestas,
Maestas for NM,Maestas for NM,Antonio Moe Maestas,
Maestas for NM ,Maestas for NM,Antonio Moe Maestas,
Maestas for State Representative (Axcess Fin.),Maestas for State Representative (Axcess Fin.),Antonio Moe Maestas,
"Maestas, A","Maestas, A",Antonio Moe Maestas,
"Maestas, Antonio ""Moe""","Maestas, Antonio ""Moe""",Antonio Moe Maestas,
Mo Maestas,Mo Maestas,Antonio Moe Maestas,
Moe Maestas,Moe Maestas,Antonio Moe Maestas,
Moe Maestas ,Moe Maestas,Antonio Moe Maestas,
Moe Maestas Committee,Moe Maestas Committee,Antonio Moe Maestas,
Moe Maestas  Duplicate to Dan Weaks,Moe Maestas Duplicate to Dan Weaks,Antonio Moe Maestas,
Moe Maestas  Duplicate to Marla Shoats,Moe Maestas Duplicate to Marla Shoats,Antonio Moe Maestas,
"Moe Maestas for Indian Pueblo Marketing, Inc","Moe Maestas for Indian Pueblo Marketing, Inc",Antonio Moe Maestas,
Moe Maestas for IPMI,Moe Maestas for IPMI,Antonio Moe Maestas,
Moe Maestas for New Mexico,Moe Maestas for New Mexico,Antonio Moe Maestas,
Moe Maestas for NM House,Moe Maestas for NM House,Antonio Moe Maestas,
Moe Maestas for NM House ,Moe Maestas for NM House,Antonio Moe Maestas,
Moe Maestas for State Representative ,Moe Maestas for State Representative,Antonio Moe Maestas,
Moe Maestras,Moe Maestras,Antonio Moe Maestas,
Moe PAC,Moe PAC,Antonio Moe Maestas,
Moe PAC / Rep. Moe Maestas ,Moe PAC / Rep. Moe Maestas,Antonio Moe Maestas,
Rep Antonio Maestas~Duplicate to Dan Weaks,Rep Antonio Maestas~Duplicate to Dan Weaks,Antonio Moe Maestas,
Rep Antonio Maestas~Duplicate to Marla Shoats,Rep Antonio Maestas~Duplicate to Marla Shoats,Antonio Moe Maestas,
Rep Antonio Moe Maestas  Duplicate to Dan Weaks,Rep Antonio Moe Maestas Duplicate to Dan Weaks,Antonio Moe Maestas,
Rep Antonio Moe Maestas  Duplicate to Marla Shoats,Rep Antonio Moe Maestas Duplicate to Marla Shoats,Antonio Moe Maestas,
Rep. Antonio Maestas  (CCA),Rep. Antonio Maestas (CCA),Antonio moe Maestas,
Rep. Moe Maestas      (CCA),Rep. Moe Maestas (CCA),Antonio moe Maestas,
Rep. Maestas,Rep. Maestas,Antonio Moe Maestas,
Rep. Mo Maestas,Rep. Mo Maestas,Antonio Moe Maestas,
Rep Moe Maestas,Rep Moe Maestas,Antonio Moe Maestas,
Rep. Moe Maestas,Rep. Moe Maestas,Antonio Moe Maestas,
"Bealiquin ""Bill"" Gomez","Bealiquin ""Bill"" Gomez",Bealquin Bill Gomez,
Bealquin Bill Gomez,Bealquin Bill Gomez,Bealquin Bill Gomez,
Bealquin Bill Gomez ,Bealquin Bill Gomez,Bealquin Bill Gomez,
Bealquin Gomez,Bealquin Gomez,Bealquin Bill Gomez,
"Belquin ""Bill"" Gomez","Belquin ""Bill"" Gomez",Bealquin Bill Gomez,
Bill Gomez,Bill Gomez,Bealquin Bill Gomez,
Bill Gomez ,Bill Gomez,Bealquin Bill Gomez,
Bill Gomez Committee,Bill Gomez Committee,Bealquin Bill Gomez,
Bill Gomez for Representative,Bill Gomez for Representative,Bealquin Bill Gomez,
Committee to re-elect Bealquin Gomez,Committee to re-elect Bealquin Gomez,Bealquin Bill Gomez,
Committee to Re-Elect Bill Gomez ,Committee to Re-Elect Bill Gomez,Bealquin Bill Gomez,
Rep. Bill Gomez,Rep. Bill Gomez,Bealquin Bill Gomez,
"Ben Shendo for Indian Pueblo Marketing, Inc","Ben Shendo for Indian Pueblo Marketing, Inc",Benny Shendo,
Benny Shendo,Benny Shendo,Benny Shendo,
Benny Shendo ,Benny Shendo,Benny Shendo,
Benny Shendo (client),Benny Shendo (client),Benny Shendo,
Benny Shendo Committee,Benny Shendo Committee,Benny Shendo,
Benny Shendo for NM State Senate,Benny Shendo for NM State Senate,Benny Shendo,
Benny Shendo for Senator,Benny Shendo for Senator,Benny Shendo,
Benny Shendo for State Senate,Benny Shendo for State Senate,Benny Shendo,
Benny Shendo Jr for Senate,Benny Shendo Jr for Senate,Benny Shendo,
Benny Shendo Jr.,Benny Shendo Jr.,Benny Shendo,
"Benny Shendo, Jr","Benny Shendo, Jr",Benny Shendo,
"Benny Shendo, Jr.","Benny Shendo, Jr.",Benny Shendo,
"Benny Shendo, Jr. for IPMI","Benny Shendo, Jr. for IPMI",Benny Shendo,
Benny Shindo (Client),Benny Shindo (Client),Benny Shendo,
Bey Shendo (for Isleta Pueblo,Bey Shendo (for Isleta Pueblo,Benny Shendo,
committee to Elect Benny Shendo,committee to Elect Benny Shendo,Benny Shendo,
Committee to Elect Benny Shendo Jr,Committee to Elect Benny Shendo Jr,Benny Shendo,
"Committee to Elect Benny Shendo, Jr.","Committee to Elect Benny Shendo, Jr.",Benny Shendo,
Committee to Re-elect Benny Shendo,Committee to Re-elect Benny Shendo,Benny Shendo,
"Committee to Re-Elect Benny Shendo, Jr.","Committee to Re-Elect Benny Shendo, Jr.",Benny Shendo,
CTE Senator Benny Shendo ,CTE Senator Benny Shendo,Benny Shendo,
Elect Benny Shendo,Elect Benny Shendo,Benny Shendo,
Sen Benny Shendo  Duplicate to Dan Weaks,Sen Benny Shendo Duplicate to Dan Weaks,Benny Shendo,
Sen Benny Shendo  Duplicate to Marla Shoats,Sen Benny Shendo Duplicate to Marla Shoats,Benny Shendo,
Sen Benny Shendo Jr,Sen Benny Shendo Jr,Benny Shendo,
Sen. Benny Shando,Sen. Benny Shando,Benny Shendo,
Sen. Benny Shendo,Sen. Benny Shendo,Benny Shendo,
Senator Benny Shendo,Senator Benny Shendo,Benny Shendo,
Senator Benny Shendo on behalf of Horizon-Ag,Senator Benny Shendo on behalf of Horizon-Ag,Benny Shendo,
Shendo for NM Senate,Shendo for NM Senate,Benny Shendo,
"Shendo, B","Shendo, B",Benny Shendo,
Bill B. O'Neill,Bill B. O'Neill,Bill B. O'Neill,
"Bill O""Neil","Bill O""Neil",Bill B. O'Neill,
Bill Oï¿½Neill,Bill Oï¿½Neill,Bill B. O'Neill,
bill Oneil,bill Oneil,Bill B. O'Neill,
Bill O'Neil,Bill O'Neil,Bill B. O'Neill,
Bill Oneill,Bill Oneill,Bill B. O'Neill,
Bill O'Neill,Bill O'Neill,Bill B. O'Neill,
Bill O'Neill ,Bill O'Neill,Bill B. O'Neill,
Bill O'Neill Committee,Bill O'Neill Committee,Bill B. O'Neill,
"Bill O'Neill for Indian Pueblo Marketing, Inc","Bill O'Neill for Indian Pueblo Marketing, Inc",Bill B. O'Neill,
Bill O'Neill for IPMI,Bill O'Neill for IPMI,Bill B. O'Neill,
Bill O'Neill for Senate,Bill O'Neill for Senate,Bill B. O'Neill,
Bill O'Neill for State Senate,Bill O'Neill for State Senate,Bill B. O'Neill,
Bill O'Neill for tw telecom,Bill O'Neill for tw telecom,Bill B. O'Neill,
Bill O'Niel (Lovelace) ,Bill O'Niel (Lovelace),Bill B. O'Neill,
Bill Oniell,Bill Oniell,Bill B. O'Neill,
Bill O'Niell,Bill O'Niell,Bill B. O'Neill,
Campaign to Re-Elect Bill B. O'Neill,Campaign to Re-Elect Bill B. O'Neill,Bill B. O'Neill,
Committee ro Re-elect Bill O'Neil,Committee ro Re-elect Bill O'Neil,Bill B. O'Neill,
Committee to Bill O'Neill,Committee to Bill O'Neill,Bill B. O'Neill,
Committee to Elect Bill O'Neill,Committee to Elect Bill O'Neill,Bill B. O'Neill,
Committee to Elect Bill O'Niell,Committee to Elect Bill O'Niell,Bill B. O'Neill,
Committee to Re-elect Bill O'Neil,Committee to Re-elect Bill O'Neil,Bill B. O'Neill,
Committee to Re-elect Bill O'Neill ,Committee to Re-elect Bill O'Neill,Bill B. O'Neill,
CTE Senator Bill B. O'Neill,CTE Senator Bill B. O'Neill,Bill B. O'Neill,
CTE Senator Bill O'Neil ,CTE Senator Bill O'Neil,Bill B. O'Neill,
Elect Bill O'Neill,Elect Bill O'Neill,Bill B. O'Neill,
"Oï¿½Neill, Bill","Oï¿½Neill, Bill",Bill B. O'Neill,
O'Neil Campaign,O'Neil Campaign,Bill B. O'Neill,
O'Neill for District 13,O'Neill for District 13,Bill B. O'Neill,
O'Neill for Senate 13,O'Neill for Senate 13,Bill B. O'Neill,
O'Neill for Senate District 13,O'Neill for Senate District 13,Bill B. O'Neill,
O'Neill for Senate(Ck from Union Pacific),O'Neill for Senate(Ck from Union Pacific),Bill B. O'Neill,
"O'Neill, B","O'Neill, B",Bill B. O'Neill,
Re-elect Bill O'Neill,Re-elect Bill O'Neill,Bill B. O'Neill,
Sen Bill O'Neil  Duplicate to Dan Weaks,Sen Bill O'Neil Duplicate to Dan Weaks,Bill B. O'Neill,
Sen Bill O'Neil  Duplicate to Marla Shoats,Sen Bill O'Neil Duplicate to Marla Shoats,Bill B. O'Neill,
Sen. Bill O'Neill,Sen. Bill O'Neill,Bill B. O'Neill,
Sen. William O'Neil,Sen. William O'Neil,Bill B. O'Neill,
Senator Bill O' Neill Committee,Senator Bill O' Neill Committee,Bill B. O'Neill,
Senator Bill O'Neill,Senator Bill O'Neill,Bill B. O'Neill,
William Baldwin O'Neil,William Baldwin O'Neil,Bill B. O'Neill,
William Baldwin O'Neill,William Baldwin O'Neill,Bill B. O'Neill,
William O Neill ,William O Neill,Bill B. O'Neill,
William O'Neill,William O'Neill,Bill B. O'Neill,
bill mcamley,bill mcamley,Bill McCamley,
Bill McCambley,Bill McCambley,Bill McCamley,
Bill McCamely,Bill McCamely,Bill McCamley,
Bill McCamely for State Representative ,Bill McCamely for State Representative,Bill McCamley,
Bill McCamley,Bill McCamley,Bill McCamley,
Bill McCamley ,Bill McCamley,Bill McCamley,
Bill McCamley for Auditor,Bill McCamley for Auditor,Bill McCamley,
Bill McCamley for NextEra,Bill McCamley for NextEra,Bill McCamley,
Bill McCamley for State Auditor,Bill McCamley for State Auditor,Bill McCamley,
Bill McCamley for State Representative,Bill McCamley for State Representative,Bill McCamley,
Bill McClamely,Bill McClamely,Bill McCamley,
Committee to Elect 2016 Bill McCamley,Committee to Elect 2016 Bill McCamley,Bill McCamley,
Committee to Elect Bill McCamely,Committee to Elect Bill McCamely,Bill McCamley,
Committee to elect Bill McCamley,Committee to elect Bill McCamley,Bill McCamley,
Committee to Elect Bill McCamley (VNB) ,Committee to Elect Bill McCamley (VNB),Bill McCamley,
Committee to Re-elect Bill McCamley,Committee to Re-elect Bill McCamley,Bill McCamley,
Committee to Re-elect Rep. Bill McCamley,Committee to Re-elect Rep. Bill McCamley,Bill McCamley,
Elect Bill McCamley,Elect Bill McCamley,Bill McCamley,
Rep Bill McCamley,Rep Bill McCamley,Bill McCamley,
William McCamley (client),William McCamley (client),Bill McCamley,
McCamley for Rep(Ck from Union Pacific),McCamley for Rep(Ck from Union Pacific),Bill McCamley,
Rep. Bill McCamley for State Representative,Rep. Bill McCamley for State Representative,Bill McCamley,
Rep. Bill McCamley,Rep. Bill McCamley,Bill McCamley,
Representative Bill McCamley,Representative Bill McCamley,Bill McCamley,
Bill Tallman,Bill Tallman,Bill Tallman,
Bill Tallman ,Bill Tallman,Bill Tallman,
Bill Tallman for Senate,Bill Tallman for Senate,Bill Tallman,
Bill Talman,Bill Talman,Bill Tallman,
Billl Tallman,Billl Tallman,Bill Tallman,
Committee to Re-elect Bill Tallman,Committee to Re-elect Bill Tallman,Bill Tallman,
CTE Rep. Bill Tallman,CTE Rep. Bill Tallman,Bill Tallman,
Sen Bill Tallman,Sen Bill Tallman,Bill Tallman,
Sen. Bill Tallman,Sen. Bill Tallman,Bill Tallman,
Tallman for Senate,Tallman for Senate,Bill Tallman,
Tallman for State Senate,Tallman for State Senate,Bill Tallman,
Tallman For State Senate ,Tallman For State Senate,Bill Tallman,
"Tallman, B","Tallman, B",Bill Tallman,
William Tallman,William Tallman,Bill Tallman,
Re-elect Bill Tallman,Re-elect Bill Tallman,Bill Tallman,
Bob Wooley,Bob Wooley,Bob Wooley,
